product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,materials_and_dimensions,pageUrl,scrape_date,supplier
CAUCA RUG,CAUCA RUG,category,RUGS,"
				<p>





The Cauca culture is an extinct Colombian culture dated between the 9th and 10th centuries CE, located close to the Cauca River in Colombia. Their traditional artworks gave rise to CAUCA Rug. The geometric pattern on the black and white botanical silk rug recalls the sharp artwork of the Cauca culture and aims to bring strength to any living room. CAUCA Black and White Rectangle Botanical Silk Rug is the best finishing for your home decor.





<br></p>			",https://www.brabbu.com/resources/images/products/247/gallery/cauca-rug-modern-design-by-brabbu-1.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS <br>

<b></b>Fabric botanical silk overtufting.
</p><p>
<br></p>                        ",https://www.brabbu.com/product/rugs/cauca/rug/,02/05/2023,brabbu
ENZ RUG,ENZ RUG,category,RUGS,"
				<p>



Enz River runs through the northern Black Forest in Germany which is considered to have the most attractive landscapes for nature lovers, ramblers and mountain bikers. ENZ Black Rectangular Botanical Silk Rug is made in hand-tufted botanical silk and was inspired by the breath-taking richness of the Black Forest and its natural resources. ENZ can be tailored to any size, colour and shape, to better fit every space.



<br></p>			",https://www.brabbu.com/resources/images/products/249/gallery/enz-hand-tufted-rug-in-tencel-modern-design-by-brabbu-1.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS <br>

<b></b>Fabric hand-tufted botanical silk.
</p><p>
<br></p>                        ",https://www.brabbu.com/product/rugs/enz/rug/,02/05/2023,brabbu
ETNA  RUG,ETNA  RUG,category,RUGS,"
				<p>



Under the Eurasian plate lies the highest and the widest sub-aerial active volcano in Europe and Mediterranean Area: the Etna. ETNA Blue and Green Rectangular Botanical Silk Rug is named after this persistent volcano: a hand-tufted botanical silk rug that mixes different neutral tones with slight notes of light blue and green in irregular shapes. ETNA Rug fits well in every eclectic or contemporary living room.



</p>			",https://www.brabbu.com/resources/images/products/682/gallery/540x505_1.jpg,https://www.brabbu.com/resources//images/products/682/gallery/previews/167x63_2.jpg,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        DIMENSIONS<br>WIDTH 200 cm | 78,7""<br>HEIGHT 300 cm | 118,1""<br><br><div>MATERIALS<br>

<b></b>Fabric hand-tufted botanical silk.
</div><div><br></div><div>DIMENSIONS&nbsp;</div><div>W Ø25 cm | 9,8” H 300 cm | 118,7”<br>VOLUME 0,14 m³ | 4,94 ft³<br>WEIGHT 30 kg | 66,13 lb</div>                        ",https://www.brabbu.com/product/rugs/etna-/rug/,02/05/2023,brabbu
GOBI RUG,GOBI RUG,category,RUGS,"
				<p>



The Gobi Desert is known for its hardest arid conditions and is the largest and driest desert in Asia, bounded by Mongolian and Chinese mountains to all sides. GOBI hand-tufted botanical silk rug depicts the extreme and opposite conditions that occur in this desert through its dark grey and sandy tones, applied in irregular but incisive shapes. GOBI Rectangular Botanical Silk Rug fits well in a sober and strong ambience of a living room or a dining room.



<br></p>			",https://www.brabbu.com/resources/images/products/250/gallery/gobi-hand-tufted-rug-in-tencel-modern-design-by-brabbu-1.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS <br>Hand-tufted botanical silk.<br></p>                        ",https://www.brabbu.com/product/rugs/gobi/rug/,02/05/2023,brabbu
INUK RUG,INUK RUG,category,RUGS,"
				<p>



INUK is the individual name for the Inuit people, a group of indigenous people inhabiting the Arctic regions of Greenland. The INUK Rectangle Rug, hand-tufted botanical silk, reflects their lifestyle and the clothing that protects them: the motifs resembling a beautiful brown, black and white cover that make you travel to the coldest places on Earth and still feel warm and comfortable.



<br></p>			",https://www.brabbu.com/resources/images/products/253/gallery/inuk-modern-rug-contemporary-modern-design-by-brabbu-1.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS <br>

<b></b>Fabric hand-tufted botanical silk.
</p><p>
<br></p>                        ",https://www.brabbu.com/product/rugs/inuk/rug/,02/05/2023,brabbu
KALINA RUG,KALINA RUG,category,RUGS,"
				<p>



The Kalina are indigenous people native to the northern coastal areas of South America. Due to the lack of a written form of language, the histories and traditions of the Kalina people are transmitted until this day in the oral form, passing through generations. Their myths, legends, and tales are narrated today on KALINA Rectangle Botanical Silk Rug’s long lines that will elegantly finish any beautiful modern home decor.



<br></p>			",https://www.brabbu.com/resources/images/products/255/gallery/kalina-rug-modern-design-by-brabbu-1.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS <br>

<b></b>Fabric hand-tufted botanical silk.
</p><p>
<br></p>                        ",https://www.brabbu.com/product/rugs/kalina/rug/,02/05/2023,brabbu
KARA RUG,KARA RUG,category,RUGS,"
				<p>



Living on the banks of the Omo river in Southern Ethiopia, you can find the small tribe, Kara. They paint their bodies in preparation for ceremonies, using chalk with yellow rock, red iron ore and charcoal, combined with the distinctive colourful layers of round necklaces covering all their neck and chest. KARA Rectangle Botanical Silk Rug represents these overlapping threads with many beads, creating a round spreading pattern made out of hand-tufted botanical silk.



<br></p>			",https://www.brabbu.com/resources/images/products/256/gallery/kara-rug-1-540x505.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS&nbsp;</p><p>Fabric hand-tufted botanical silk.</p><p></p><p></p>

<br><p></p>                        ",https://www.brabbu.com/product/rugs/kara/rug/,02/05/2023,brabbu
KASAI RUG,KASAI RUG,category,RUGS,"
				<p>



The Kasai River flows through Central Africa, giving life to agricultural lands in a region known for its sandy and infertile soil. The long and irregular stripes of the KASAI Rectangular Rug in dark blue, light brown and dark brown depict the heavy sediment load that the river carries together with a hidden wealth – diamonds. This ethnic rectangular rug in hand-tufted botanical silk fits well in any eclectic home decor.



<br></p>			",https://www.brabbu.com/resources/images/products/257/gallery/kasai-modern-rug-contemporary-modern-design-by-brabbu-1.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS&nbsp;</p><p>Fabric hand-tufted botanical silk.</p><p></p>

<br><p></p>                        ",https://www.brabbu.com/product/rugs/kasai/rug/,02/05/2023,brabbu
KOI RUG,KOI RUG,category,RUGS,"
				<p>



Koi Carp is a recurring symbol of Japanese culture, highly appreciated by its decorative purposes, appearing most commonly in tattoos. Its natural colour mutations reveal their capacity to adapt, just like the KOI Rectangular Rug in hand-tufted botanical silk in neutral earthy tones to better fit in your ambiences. The KOI Rug goes well in a living room and bedroom with either neutral or colourful furniture.



<br></p>			",https://www.brabbu.com/resources/images/products/258/gallery/koi-hand-knotted-rug-modern-contemporary-design-by-brabbu-1.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS <br>

</p><p><b></b>Fabric hand-tufted botanical silk.
</p><p></p>

<br><p></p>                        ",https://www.brabbu.com/product/rugs/koi/rug/,02/05/2023,brabbu
MACUSHI RUG,MACUSHI RUG,category,RUGS,"
				<p>



The Macushi are a population living on the border of southern Guyana and northern Brazil. When married, the Macushi couple lives in the wife's village and the father-in-law is of great importance in Macushi kinship. Their ancestral family bonds and religious beliefs are depicted by BRABBU’s MACUSHI Rectangular Wool Rug, with its delicate flower patterns and sand hues that will be perfect to decorate any modern home decor.



<br></p>			",https://www.brabbu.com/resources/images/products/260/gallery/macuchi-1-540x505.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-2-167x93.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-3-167x93.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-3-167x93.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-3-167x93.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-3-167x93.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-3-167x93.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-3-167x93.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-3-167x93.jpg,https://www.brabbu.com/resources//images/products/260/gallery/previews/macuchi-3-167x93.jpg,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS <br>

<b></b>Fabric botanical silk overtufting.
</p><p>
<br></p>                        ",https://www.brabbu.com/product/rugs/macushi/rug/,02/05/2023,brabbu
MURSI RUG,MURSI RUG,category,RUGS,"
				<p>



The Nilotic pastoralist ethnic group Mursi lives in southwestern Ethiopia, they believe in a higher force coming from the sky, called Tumwi. The Mursi consider clay sacred and powerful, they still paint their bodies for religious and medical purposes. Combined body painting motifs and animal’s footprints in an abstract pattern created the rectangular MURSI Hand-tufted Rectangular Botanical Silk Rug, an earth-to-earth acquisition for the home.



<br></p>			",https://www.brabbu.com/resources/images/products/261/gallery/mursi-hand-tufted-rug-modern-design-by-brabbu-1.jpg,,,,,,,,,,https://www.youtube.com/embed/QTnHlqGdyT8?rel=0,Made by Order,"
                        <p>DIMENSIONS <br>Width 200 cm | 78,7"" <br>Height 300 cm | 118,1"" <br><br>MATERIALS <br>

<b></b>Fabric hand-tufted botanical silk.
</p><p>
<br></p>                        ",https://www.brabbu.com/product/rugs/mursi/rug/,02/05/2023,brabbu
