product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,materials_and_dimensions,pageUrl,scrape_date,supplier
MALKIY SOFA,MALKIY SOFA,upholstery,Sofas,"
				<p></p><p></p>



MALKIY Sofa was named after a king and priest mentioned in the Book of Genesis whose name means justice and king of righteousness. This tuxedo red velvet sofa has legs in aged golden leaf, making it the perfect addition to a modern classic living room set. The MALKIY Tuxedo Velvet Sofa is sure to make a statement in any room it is in.



<br><p></p>			",https://www.brabbu.com/resources/images/products/149/gallery/malkiy-louge-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-2.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/149/gallery/previews/malkiy-louge-sofa-modern-contemporary-furniture-3.jpg,https://www.youtube.com/embed/fkz6-yCbrmQ?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 220 cm | 86,61”<br>Depth 86 cm | 33,85”<br>Height 88 cm | 34,64”<br>Seat Height 50 cm | 19,68”<br>Seat Depth 52 cm | 20,47”<br>Armrest Height 66 cm | 25,98”<div><br><b></b>MATERIALS</div><div>FABRIC Cotton velvet BB MOSS I - colour 16</div><div>LEGS In aged golden leaf with gloss varnish.<b></b><br><br></div><div>FABRIC / LEATHER REQUEST<br>COM 14,5 mts | 551,2” (Standard width 1,40mts | 55”)<br>COL 223,3 sq ft<br><br></div>                        ",https://www.brabbu.com/product/upholstery/malkiy/sofa/,02/05/2023,brabbu
OTTAWA SOFA,OTTAWA SOFA,upholstery,Sofas,"
				<p></p><p></p>



Known as traders, the Ottawa is a Native American tribe from Manitoulin Island. This tribe inspired the creation of OTTAWA Sofa. Featuring synthetic leather upholstery and a frame bordered with bronze polished nails, this camelback sofa will give a contemporary touch to any room. The OTTAWA is a modern contemporary three seater black sofa making it the perfect addition to your living room design.



<br><p></p>			",https://www.brabbu.com/resources/images/products/153/gallery/ottawa-3-seater-sofa-modern-contemporary-furniture-2.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-3.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/153/gallery/previews/ottawa-3-seater-sofa-modern-contemporary-furniture-1.jpg,https://www.youtube.com/embed/sy7dce-fU6E?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 220 cm | 86,61”<br>Depth 91 cm | 35,83”<br>Height 86 cm | 33,86”<br>Seat Height 42 cm | 16,53”<br>Seat Depth 67 cm | 26,38”<br>Armrest Height 62 cm | 24,41”<br><br><div>MATERIALS</div><div><b></b><b></b>FABRIC Synthetic leather BB LERIDA I - colour 10</div><div>LEGS In matte black lacquer.<b></b><br><br></div><div>FABRIC / LEATHER REQUEST<br>COM 14,5 mts | 570,86” (Standard width 1,40mts | 55”)<br>COL 223,3 sq ft<br><br></div>                        ",https://www.brabbu.com/product/upholstery/ottawa/sofa/,02/05/2023,brabbu
PLUM SOFA,PLUM SOFA,upholstery,Sofas,"
				<p></p><p></p>



PLUM is a throwback to the past with a contemporary touch. This fully upholstered leather sofa celebrates grandeur and opulence highlighted by the synthetic leather that surrounds it. The PLUM Leather Sofa will add a sophisticated feel as well as an extra touch of elegance to any modern living room set.



<br><p></p>			",https://www.brabbu.com/resources/images/products/155/gallery/plum-sofa-1.jpg,,,,,,,,,,https://www.youtube.com/embed/fkz6-yCbrmQ?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 225 cm | 88,58”<br>Depth 95 cm | 37,40”<br>Height 80 cm | 31,5”<br>Seat height 42 cm | 16,54”<br>Seat Depth 62 cm | 24,41”<br>Armrest Height 55 cm | 21,85”<div><br>MATERIALS</div><div><b></b><b></b>FABRIC Natural leather BB REAL II - colour 08</div><div>BASE Fully upholstered.<b></b><br><br></div><div>FABRIC / LEATHER REQUEST<br>COM 11,5 mts | 452,75” (Standard width 1,40mts | 55”)<br>COL 177,1 sq ft<br><br></div>                        ",https://www.brabbu.com/product/upholstery/plum/sofa/,02/05/2023,brabbu
SAARI SOFA,SAARI SOFA,upholstery,Sofas,"
				<p>&nbsp;</p><p>&nbsp;</p><p>The Northern Lights are one of the most mesmerising natural phenomena in the world. Its beauty inspired our designers to create SAARI Sofa. Upholstered in cotton velvet and with a base in brushed aged brass matte, this blue lounge sofa will bring comfort and elegance to any living room set.&nbsp;<br>&nbsp;</p><p>&nbsp;</p>			",https://www.brabbu.com/resources/images/products/157/gallery/saari-velvet-sofa-modern-contemporary-furniture-1.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-2.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.brabbu.com/resources//images/products/157/gallery/previews/saari-velvet-sofa-modern-contemporary-furniture-4.jpg,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 212 cm |83,5”<br>Depth 84 cm | 33,1”<br>Height 87 cm | 34,3”<br>Seat Height 40 cm | 15,7”<br>Seat Depth&nbsp; 61 cm | 24” <br>Armrest Height 65 cm | 25,6”<div><br></div><div>FABRIC FOOTAGE</div><div>COM 12 mts | 472.44""</div><div>COL 184.8 sq ft<br><div><br>MATERIALS</div><div>FABRIC Cotton velvet BB MOSS VII - colour 44</div><div><b></b>BASE 

Brushed aged brass matte.</div><div><br></div><div><br></div></div>                        ",https://www.brabbu.com/product/upholstery/saari/sofa/,02/05/2023,brabbu
DAKOTA SINGLE SOFA,DAKOTA SINGLE SOFA,upholstery,Sofas,"
				<p>

</p><p></p>



The Dakota is a Native American tribe, they compose two of the three main subcultures of the Sioux people, and are typically divided into the Eastern Dakota and Western Dakota. BRABBU´s passion for the worldwide cultures aroused the desire to create DAKOTA Velvet Single Sofa, as a homage to this North-American indigenous tribe.



<br><p></p>			",https://www.brabbu.com/resources/images/products/168/gallery/dakota-single-sofa-1.jpg,,,,,,,,,,https://www.youtube.com/embed/fkz6-yCbrmQ?rel=0,In Stock,"
                        DIMENSIONS<br>Width 133 cm | 52,36”<br>Depth 105 cm | 41,33”<br>Height 89 cm | 35,03”<br>Seat Height 43 cm | 16,92”<br>Seat Height 72 cm | 28,34”<div>Arm Height 89 cm | 35,03""<br><div><br>MATERIALS</div><div>FABRIC Cotton velvet BB MOSS III - colour 23</div><div>BASE In matte aged brass.</div><div><br></div><div>FABRIC / LEATHER REQUEST<br>COM 10,5 mts | 413,38” (Standard width 1,40mts | 55”)<br>COL 161,7 sq ft<br><br></div></div>                        ",https://www.brabbu.com/product/upholstery/dakota/single-sofa/,02/05/2023,brabbu
OREAS SINGLE SOFA,OREAS SINGLE SOFA,upholstery,Sofas,"
				<p></p><p></p>



According to Greek mythology, Oreas is the God of the mountains. OREAS Single Sofa pays tribute to it. This channel-tufted single sofa is fully upholstered in soft cotton velvet, making it the perfect addition to any modern home design be it a living room, reading corner or even bedroom.



<br><p></p>			",https://www.brabbu.com/resources/images/products/152/gallery/oreas-single-sofa1.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa2.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.brabbu.com/resources//images/products/152/gallery/previews/oreas-single-sofa3.png,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 140 cm | 55,1”<br>Depth 100 cm | 39,4”<br>Height 84 cm | 31,1”<br>Seat Height 35 cm | 13,8”<br>Seat Depth 76 cm | 29,9”<div>Arm Height&nbsp;65 cm | 25,6”</div><div><br>MATERIALS</div><div>FABRIC Cotton velvet BB MOSS I - colour 35</div><div><b></b>LEGS Fully upholstered.<br>

</div><div><br>FABRIC / LEATHER REQUEST<br>COM 9 mts | 354,33” (Standard width 1,40mts | 55”)<br>COL 138,6 sq ft<br><br></div>                        ",https://www.brabbu.com/product/upholstery/oreas/single-sofa/,02/05/2023,brabbu
OTTER SINGLE SOFA,OTTER SINGLE SOFA,upholstery,Sofas,"
				<p>



Otters are known for being playful animals, with a high capacity to adapt to the environment. Inspired by the nature of this animal, the OTTER Single Sofa can adapt to any room and be an integral part of your interior design. This round shaped single sofa transmit both comfort and elegance, in any modern home decor.



<br></p>			",https://www.brabbu.com/resources/images/products/673/gallery/OTTER_SINGLE_SOFA_1.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_2.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.brabbu.com/resources//images/products/673/gallery/previews/OTTER_SINGLE_SOFA_3.jpg,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>WIDTH 115 cm | 45,27”<br>DEPTH 102 cm | 40,15”<br>HEIGHT 78 cm | 30,70”&nbsp;<div>SEAT HEIGHT 43 cm | 16,92”<br>SEAT DEPTH 65 cm | 25,59”</div><div>ARMREST HEIGHT 63 cm | 24,80”<br><div><br></div><div>MATERIALS</div><div></div>

<div>Fabric cotton velvet BB MOSS XXVII - colour 6</div><div><b></b>Base in ash wood with wenge stain matte varnish.</div>

<div><b></b></div><div></div>

</div><div><br></div><div>FABRIC NEEDED&nbsp;</div><div>6 mts | 236,22” (Standard width 1,40mts | 55”)&nbsp;<br></div><div><br></div><div>FABRIC / LEATHER REQUEST&nbsp;<br></div><div>COM 6 mts | 236,22” (Standard width 1,40mts | 55”)<br>COL&nbsp;92,4 sq ft<br></div><div><br></div>                        ",https://www.brabbu.com/product/upholstery/otter/single-sofa/,02/05/2023,brabbu
PLUM SINGLE SOFA,PLUM SINGLE SOFA,upholstery,Sofas,"
				<p></p><p></p>





PLUM is a throwback to the past with a contemporary touch. This fully upholstered Single Sofa celebrates grandeur and opulence highlighted by the synthetic leather that surrounds it. Place it in a modern living room and this leather single sofa will instantly add a sophisticated feel.




<br><p></p>			",https://www.brabbu.com/resources/images/products/170/gallery/plum-single-sofa-540x505-1.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-2.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.brabbu.com/resources//images/products/170/gallery/previews/plum-single-sofa-167x93-3.jpg,https://www.youtube.com/embed/fkz6-yCbrmQ?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 100 cm | 39,37”<br>Depth 95 cm | 37,40”<br>Height 83 cm | 32,67”<br>Seat Height 46 cm | 18,11”<br>Seat Depth 67 cm | 26,37”<br>Armrest Height 57 cm | 22,44”<div><br>MATERIALS</div><div>FABRIC Real leather REAL II 08</div><div>BASE Fully upholstered.<br>

</div><div><br>FABRIC / LEATHER REQUEST<br>COM 8 mts | 314,96” (Standard width 1,40mts | 55”)<br>COL 123,2 sq ft<br><br></div>                        ",https://www.brabbu.com/product/upholstery/plum/single-sofa/,02/05/2023,brabbu
WALES SINGLE SOFA,WALES SINGLE SOFA,upholstery,Sofas,"
				<p></p><p></p>



Often called the “Land of Castles”, Wales has some of the most impressive monuments of the Middle Ages. WALES Single Sofa pays tribute to the country’s history. Upholstered in cotton velvet and with a base in matte vintage brass, this curved velvet single sofa features a golden polished nailhead trim that makes it even more elegant.



<br><p></p>			",https://www.brabbu.com/resources/images/products/171/gallery/wales-single-sofa-mid-century-furniture-1.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-2.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.brabbu.com/resources//images/products/171/gallery/previews/wales-single-sofa-mid-century-furniture-3.jpg,https://www.youtube.com/embed/sy7dce-fU6E?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 135 cm | 53,10”<br>Depth 100 cm | 39,30”<br>Height 76 cm | 29,9”<br>Seat Height 41 cm | 16,14”<br>Seat Depth 61 cm | 24”<br>Armrest Height 63 cm | 24,8”<div><br>MATERIALS</div><div>FABRIC Cotton velvet BB MOSS I - colour 16</div><div>BASE Brushed aged brass matte</div><div><br>FABRIC / LEATHER REQUEST<br>COM 8,5 mts | 334,64” (Standard width 1,40mts | 55”)<br>COL 130,9 sq ft<br><br></div>                        ",https://www.brabbu.com/product/upholstery/wales/single-sofa/,02/05/2023,brabbu
BEGONIA 2 SEAT SOFA,BEGONIA 2 SEAT SOFA,upholstery,Sofas,"
				<p>



Begonia is a beautiful flower from tropical countries. Inspired by its warm energies and the bold shape of its petals, our designers conceived BEGONIA 2 Seat Sofa. Its charming curves and soft cotton velvet upholstery make this the perfect curved back two seat sofa for an elegant modern interior design.

 

<br></p>			",https://www.brabbu.com/resources/images/products/737/gallery/BEGONIA_2_SEAT_SOFA.jpg,,,,,,,,,,https://www.youtube.com/embed/fkz6-yCbrmQ?rel=0,Made by Order,"
                        <p>DIMENSIONS
<br>Width 140cm | 55,11""&nbsp;</p><p>Depth 70cm | 27,56""&nbsp;</p><p>Height 77cm | 30,31""


</p><p>Seat Height 42cm | 16,54""</p><p>Seat Depth 58cm | 22,83""</p><p><br></p><p>MATERIALS&nbsp;</p><p>FABRIC Cotton Velvet</p><p>FABRIC REFERENCE MOSS I 44</p><p>FABRIC NEEDED 7 mts | 275,59"" (Standard width 1,40mts | 55"")</p><p>LEGS Fully Upholstered</p>                        ",https://www.brabbu.com/product/upholstery/begonia/2-seat-sofa/,02/05/2023,brabbu
