product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,materials_and_dimensions,pageUrl,scrape_date,supplier
HUANG CABINET,HUANG CABINET,casegoods,Bookcases & Cabinets,"
				<p>





Huang is a mountain range in eastern China known for its spectacular scenery. Inspired by this magnificence, our designers created HUANG Cabinet. It features an outside in walnut root veneer, an inside in rosewood veneer and details in matte hammered brushed aged brass. This modern wood cabinet brings instant character to modern interior design.




<br></p>			",https://www.brabbu.com/resources/images/products/444/gallery/huang-cabinet-1-540x505.jpg,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-2-167x93.png,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-3-167x93.png,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-3-167x93.png,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-3-167x93.png,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-3-167x93.png,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-3-167x93.png,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-3-167x93.png,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-3-167x93.png,https://www.brabbu.com/resources//images/products/444/gallery/previews/huang-cabinet-3-167x93.png,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,In Stock,"
                        DIMENSIONS<br>Width 100 cm | 39,37""<br>Depth 50 cm | 19,68""<br>Height 210 cm | 82,67""<br><div><br>MATERIALS<br>

<b><p></p></b><p>Structure in matte walnut root veneer (outside) and in matte palisander wood veneer (inside), with brushed aged hammered matte brass base.</p><p>Door and drawer handles in casted aged brass matte and shelves in smoked glass.</p>

<div><br></div></div>                        ",https://www.brabbu.com/product/casegoods/huang/cabinet/,28/04/2023,brabbu
LANKA BOOKCASE,LANKA BOOKCASE,casegoods,Bookcases & Cabinets,"
				<p>



LANKA Bookcase is inspired by a traditional method practised in Sri Lanka, the stilt fishing, now disappearing. The vertical poles embedded into the seafloor are the main reference for the structure of LANKA: in matte black lacquer, it supports the main body covered in matte palisander wood veneer, and with matte brass details. This modern bookshelf is an elegant choice for any room in a modern home office design.



<br></p>			",https://www.brabbu.com/resources/images/products/662/gallery/1_540x505.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/2_167x93.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/662/gallery/previews/3_167x93.jpg,https://www.youtube.com/embed/E6pzbsPdQOs?rel=0,Made by Order,"
                        DIMENSIONS<br>WIDTH 130 cm | 51,18”<br>DEPTH 50 cm | 19,68”<br>HEIGHT 196 cm | 77,16”<br><br>MATERIALS<div>

<b></b>Structure in walnut root veneer matte.</div><div>Shelf in smoked glass.</div><div>Drawer handles in aged brass and caps in brushed brass matte.</div>                        ",https://www.brabbu.com/product/casegoods/lanka/bookcase/,28/04/2023,brabbu
BARAKA BOOKCASE,BARAKA BOOKCASE,casegoods,Bookcases & Cabinets,"
				<p>

Baraka is an ancient Sufi word that means ''a blessing - the breath of life -, or essence of life'' from which the
evolutionary process unfolds. The BARAKA Bookcase has the main body structure in matte walnut root
veneer covered with nature-inspired brass details; the base is in matte vintage brass and the interior of the
drawers is covered in bird's eye wood veneer. Charismatic by its never-ending contrasts between timeless
and contemporary lines, this modern contemporary bookcase is the ideal choice for your modern interiors.

<br></p>			",https://www.brabbu.com/resources/images/products/871/gallery/1_540x505.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/8_167x93.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/7_167x93.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/7_167x93.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/7_167x93.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/7_167x93.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/7_167x93.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/7_167x93.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/7_167x93.jpg,https://www.brabbu.com/resources//images/products/871/gallery/previews/7_167x93.jpg,https://www.youtube.com/embed/gf_Tt02I2W4?rel=0,Made by Order,"
                        <p>

<b>DIMENSIONS</b>&nbsp;</p><p>WIDH 120 cm | 47,24""&nbsp;</p><p>DEPTH 45 cm | 17,71""&nbsp;</p><p>HEIGHT 220 cm | 86,61""&nbsp;</p><p><b>MATERIALS</b>&nbsp;</p><p>STRUCTURE Matte walnut root veneer&nbsp;</p><p>INTERIOR Poplar wood veneer matte&nbsp;</p><p>BASE Brushed aged matte brass&nbsp;</p><p><b>TECHNICAL SPECIFICATIONS&nbsp;</b></p><p>WEIGHT 170 kg | 374,8 lbs&nbsp;</p><p>LIGHT Shelves with Built-in LED strips. Built-in switch.
 DC12V. 3000K. 340lm/m.

<br></p>                        ",https://www.brabbu.com/product/casegoods/baraka/bookcase/,28/04/2023,brabbu
LALLAN BOOKCASE,LALLAN BOOKCASE,casegoods,Bookcases & Cabinets,"The Lowlands of Scotland are called Lallans, also designating the integration, blending, and combination of some Scottish dialects. The LALLAN Bookcase combines two different materials and finishes as black lacquer and brushed brass. This modern bookcase will bring fierce harmony and elegance to your modern interior design.&nbsp;<br>&nbsp;",https://www.brabbu.com/resources/images/products/852/gallery/lallan-bookcase-5.jpg,https://www.brabbu.com/resources/images/products/852/gallery/lallan-bookcase-2.jpg,https://www.brabbu.com/resources/images/products/852/gallery/lallan-bookcase-3.jpg,https://www.brabbu.com/resources/images/products/852/gallery/lallan-bookcase-4.jpg,https://www.brabbu.com/resources/images/products/852/gallery/lallan-bookcase-5.jpg,https://www.brabbu.com/resources/images/products/852/gallery/lallan-bookcase-6.jpg,https://www.brabbu.com/resources/images/products/852/gallery/lallan-bookcase-7.jpg,https://www.brabbu.com/resources/images/products/852/gallery/lallan-bookcase-8.jpg,,,https://www.youtube.com/embed/gf_Tt02I2W4?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,"<p>

DIMENSIONS</p><p>

WIDTH 















120 cm | 47,24""



</p><p>DEPTH&nbsp; 













45 cm | 17,71""




</p><p>

HEIGHT 















220 cm | 86,61""



























<br></p><p><br></p><p>MATERIALS<br></p>





STRUCTURE &nbsp;

Black matte lacquer and Gold plated brass





<div><br></div><div><br></div><div>TECHNICAL SPECIFICATIONS&nbsp;<br></div><div><br></div><div>WEIGHT 

170 kg | 374,8 lbs

<br></div><div>&nbsp;



<p>







<br></p></div>",https://www.brabbu.com/home/product/casegoods/lallan/bookcase,28/04/2023,brabbu
,,casegoods,Bookcases & Cabinets,,,,,,,,,,,,,LEAD TIME: 4 TO 6 WEEKS,"<p>DIMENSIONS
<br>Width 120 cm | 47,2""
<br>Depth 42 cm | 16,5""
<br>Height 190 cm | 74,8"" </p><p>MATERIALS
<br>

<b></b></p><p></p><p>Structure in glossy casted aged brushed brass with drawers in glossy ebony veneer. </p><p>Shelves in smoked glass.</p><b><p></p></b><br>


<p></p><br><p></p>",https://www.brabbu.com/home/product/casegoods/mambu/bookcase,28/04/2023,brabbu
HEPBURN CABINET,HEPBURN CABINET,casegoods,Bookcases & Cabinets,"Inspired by one of the most refined names in the Hollywood industry, the Hepburn sideboard cabinet is a timeless piece of impeccable design. Its mid-century inspiration makes this a unique cabinet for your home that brings a certain elegance to any home.",https://www.brabbu.com/resources/images/products/838/gallery/01.jpg,,,,,,,,,,https://www.youtube.com/embed/gf_Tt02I2W4?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,,https://www.brabbu.com/home/product/casegoods/hepburn/cabinet,28/04/2023,brabbu
LAPIAZ WALNUT CABINET,LAPIAZ WALNUT CABINET,casegoods,Bookcases & Cabinets,"Lapiaz cabinet takes exceptional craftsmanship and design to a new realm. Finding beauty in the most unexpected places, this contemporary design piece is inspired by authentic karst formations. Its organic features are achieved through the manual fitting of polished brass, and a sharp finish in walnut wood veneer that portrays a perfect mirror. Different-shaped doors and drawers open to a distinct poplar root wood veneer interior. The hammered gold details and the mirrored façade conveys both dynamics and elegance, a beautiful duality between power and refinement to bring a new contemporary verve into interior design. A functional artwork piece born from cold and freshly cracked to showing off the world rich, golden details.",https://www.brabbu.com/resources/images/products/854/gallery/01.jpg,,,,,,,,,,https://www.youtube.com/embed/gf_Tt02I2W4?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,,https://www.brabbu.com/home/product/casegoods/lapiaz-walnut/cabinet,28/04/2023,brabbu
BLAKE BOOKCASE,BLAKE BOOKCASE,casegoods,Bookcases & Cabinets,Blake is our modular bookshelf system and it is easily customizable to any measures needed. The specially made marble doors with a lightweight core convey solidity and look to this glaring piece. The warm solid walnut core is held steady by the flashy modular brass structure creating a stunning combination of materials and know-how.&nbsp;,https://www.brabbu.com/resources/images/products/790/gallery/02.jpg,https://www.brabbu.com/resources/images/products/790/gallery/02.jpg,https://www.brabbu.com/resources/images/products/790/gallery/03.jpg,https://www.brabbu.com/resources/images/products/790/gallery/04.jpg,https://www.brabbu.com/resources/images/products/790/gallery/05.jpg,,,,,,https://www.youtube.com/embed/gf_Tt02I2W4?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,,https://www.brabbu.com/home/product/casegoods/blake/bookcase,28/04/2023,brabbu
GARRETT BOOKCASE,GARRETT BOOKCASE,casegoods,Bookcases & Cabinets,"Inspired by one of Portugal’s most known writer, Almeida Garrett, was born a design piece meant to keep knowledge on display, the Garrett Bookcase. The design of this Bookcase is thought to feed creative minds, serving as a functional yet decorative storage space. The elegant wood structure paired with textured brass and marble panels gives to the Garret Bookcase the richness to decorate modern offices.",https://www.brabbu.com/resources/images/products/821/gallery/01.jpg,,,,,,,,,,https://www.youtube.com/embed/gf_Tt02I2W4?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,,https://www.brabbu.com/home/product/casegoods/garrett/bookcase,28/04/2023,brabbu
DOLMEN STOOL,DOLMEN STOOL,casegoods,Stools,"
				<p>





Dolmens are megalithic tombs that usually consist of upright stones supporting a large flat horizontal one. The impressive structure inspired the creation of DOLMEN Stool, a unique furniture design product. This brass stool, with three legs and made of polish casted brass, will make a statement in any modern home decor.





<br></p>			",https://www.brabbu.com/resources/images/products/420/gallery/dolmen-stool-1-540x505.jpg,,,,,,,,,,https://www.youtube.com/embed/EGN7pp02AXg?rel=0,Made by Order,"
                        <p>

DIMENSIONS
<br>Width 36 cm | 14,2""
<br>Depth 30 cm | 11,8""
<br>Height 50 cm | 19,7""&nbsp;</p><p>MATERIALS
<br>

<b></b>Structure in aged matte casted brass.
</p><p>
<br></p>                        ",https://www.brabbu.com/product/casegoods/dolmen/stool/,28/04/2023,brabbu
