product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,materials_and_dimensions,pageUrl,scrape_date,supplier
ARCO A VOLTA WHITE CLASSIC,ARCO A VOLTA WHITE CLASSIC,softgoods,Pillows,"
				<p>





Arco-A-Volta is the name given to the arches that form a whole semicircle, supported at two ends and closed by a single wedge-shaped stone; it is a pure compression of form. This type of arch started to be used in Mesopotamia, and it gave the inspiration for this modern white pillow, which will add a contemporary feel to your modern interior design.



<br></p>			",https://www.brabbu.com/resources/images/products/459/gallery/BN013.jpg,https://www.brabbu.com/resources//images/products/459/gallery/previews/BN013_MG_1573.jpg,,,,,,,,,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS<div>Width 50 cm | 19,68”</div><div>Height 50 cm | 19,68”</div><div><br>MATERIALS</div><div>FABRIC Linen/Cotton</div><div>FABRIC REFERENCE 

BB HOSTA XVIII - Colour 1</div>

<div></div>                        ",https://www.brabbu.com/product/pillows/arco-a-volta-white/classic/,28/04/2023,brabbu
ARCO A VOLTA GREY CLASSIC,ARCO A VOLTA GREY CLASSIC,softgoods,Pillows,"
				<p>



Arco-A-Volta is the name given to the arches that form a whole semicircle, supported at two ends and closed by a single wedge-shaped stone; it is a pure compression of form. This type of arch started to be used in Mesopotamia, and it gave the inspiration for this modern grey pillow, which will add a contemporary feel to your modern interior design.



<br></p>			",https://www.brabbu.com/resources/images/products/458/gallery/A02.jpg,https://www.brabbu.com/resources//images/products/458/gallery/previews/A02_MG_1590.jpg,,,,,,,,,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 50 cm | 19,68”<br>Height 30 cm | 11,81”<div><br>MATERIALS<br>FABRIC Satin<br>FABRIC REFERENCE 

BB HOSTA XVIII - Colour 4

<br>DETAILS Piping: 

BB HANOI II - Colour 5

</div>                        ",https://www.brabbu.com/product/pillows/arco-a-volta-grey/classic/,28/04/2023,brabbu
FLORA WHITE CLASSIC,FLORA WHITE CLASSIC,softgoods,Pillows,"
				<p>









</p><p></p>



In Roman mythology, Flora is a nymph of the Lucky Isles and the goddess of flowers. The Greek counterpart of this nymph is called Chloris. Flora is the natural power that creates blossom trees and rules over ""all that blooms.""This classic white pillow was inspired by Flora and represents the flower's natural phenomenon. It is made of linen and cotton.



<br><p></p>			",https://www.brabbu.com/resources/images/products/464/gallery/BN012.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_2.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_MG_1566.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_MG_1566.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_MG_1566.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_MG_1566.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_MG_1566.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_MG_1566.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_MG_1566.jpg,https://www.brabbu.com/resources//images/products/464/gallery/previews/BN012_MG_1566.jpg,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS&nbsp;<div>WIDTH 45 cm | 17,71”&nbsp;</div><div>HEIGHT 45 cm | 17,71”<br><br></div><div>MATERIALS&nbsp;</div><div>FABRIC Satin&nbsp;</div><div>FABRIC REFERENCE Front: HANOI VIII 01; Back: HOSTA V 01</div><div>DETAILS Piping: HOSTA V 01<br></div><div><div></div>

<div><div><div></div>

<div></div></div></div></div>                        ",https://www.brabbu.com/product/pillows/flora-white/classic/,28/04/2023,brabbu
FLORA BLUSH CLASSIC,FLORA BLUSH CLASSIC,softgoods,Pillows,"
				<p></p><div><div><div><div><p>









</p><p>





In Roman mythology, Flora is a nymph of the Lucky Isles and the goddess of flowers. The Greek counterpart of this nymph is called Chloris. Flora is the natural power that creates blossom trees and rules over all that blooms. This modern classic blush pillow was inspired by Flora and represents the flower's natural phenomenon.

</p><p></p></div></div></div></div><p></p>			",https://www.brabbu.com/resources/images/products/563/gallery/N01.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_2.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_MG_1580.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_MG_1580.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_MG_1580.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_MG_1580.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_MG_1580.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_MG_1580.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_MG_1580.jpg,https://www.brabbu.com/resources//images/products/563/gallery/previews/N01_MG_1580.jpg,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 60 cm | 23,62”<br>Height 35 cm | 13,77”<div><br>MATERIALS<br>FABRIC Satin<br>FABRIC REFERENCE: Front HANOI VIII 02<br>DETAILS Piping: MOSS I 18</div>                        ",https://www.brabbu.com/product/pillows/flora-blush/classic/,28/04/2023,brabbu
FLORA GREY CLASSIC,FLORA GREY CLASSIC,softgoods,Pillows,"
				<p>









</p><p></p>



In Roman mythology, Flora is a nymph of the Lucky Isles and the goddess of flowers. The Greek counterpart of this nymph is called Chloris. Flora is the natural power that creates blossom trees and rules over ""all that blooms.""This classic grey pillow was inspired by Flora and represents the flower's natural phenomenon.

<br><p></p>			",https://www.brabbu.com/resources/images/products/462/gallery/A01.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_2.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_MG_1584.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_MG_1584.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_MG_1584.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_MG_1584.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_MG_1584.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_MG_1584.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_MG_1584.jpg,https://www.brabbu.com/resources//images/products/462/gallery/previews/A01_MG_1584.jpg,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS<div>Width 60 cm | 23,62”</div><div>Height 35 cm | 13,77”</div><div><br>MATERIALS</div><div>FABRIC Satin</div><div>FABRIC REFERENCE HANOI VIII 04</div><div>DETAILS Piping: HANOI II 05<br></div>

<div><div><div></div>

<div></div></div></div>                        ",https://www.brabbu.com/product/pillows/flora-grey/classic/,28/04/2023,brabbu
MANDALA ORANGE CLASSIC,MANDALA ORANGE CLASSIC,softgoods,Pillows,"
				<p>









</p><p>









</p><p>









</p><p>



This classic orange pillow was inspired by mandalas. Mandalas are used as instruments of concentration and to achieve higher states of meditation, especially in Tibet and Japanese Buddhism. A long time ago, the mandala was used as an artistic and religious expression through rock paintings.



</p>




<p></p>




<p></p><p></p>			",https://www.brabbu.com/resources/images/products/474/gallery/M002.jpg,https://www.brabbu.com/resources//images/products/474/gallery/previews/M002_MG_1603.jpg,,,,,,,,,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS&nbsp;<div>Width 60cm | 23,62”&nbsp;</div><div>Height 35cm | 13,77”</div><div><br>MATERIALS&nbsp;</div><div>FABRIC Linen</div><div>FABRIC REFERENCE: HOSTA XVII 08 

</div><div>DETAILS&nbsp;Piping: DARIEN VIII 08<br></div><div><br><div><div><div><div><div><div></div>

<div><div><div></div>

<div></div></div></div></div></div></div></div></div></div>                        ",https://www.brabbu.com/product/pillows/mandala-orange/classic/,28/04/2023,brabbu
MANDALA BLUE CLASSIC,MANDALA BLUE CLASSIC,softgoods,Pillows,"
				<p>









</p><p>









</p><p>









</p><p>



This classic blue pillow was inspired by mandalas. Mandalas are used as instruments of concentration and to achieve higher states of meditation, especially in Tibet and Japanese Buddhism. A long time ago, the mandala was used as an artistic and religious expression through rock paintings.



</p>




<p></p>




<p></p><p></p>			",https://www.brabbu.com/resources/images/products/475/gallery/B011.jpg,https://www.brabbu.com/resources//images/products/475/gallery/previews/B011_MG_1600.jpg,,,,,,,,,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        <div>DIMENSIONS</div><div>Width 50 cm | 19,68”&nbsp;</div><div>Height 50 cm | 19,68”<br><br></div><div>MATERIALS&nbsp;</div><div>FABRIC Linen/Cotton&nbsp;</div><div>FABRIC REFERENCE: HOSTA XVII 06&nbsp;</div><div>DETAILS Piping: HANOI II 06<br></div><div><div><div><div><div><div><div></div>

<div><div><div></div>

<div></div></div></div></div></div></div></div></div></div>                        ",https://www.brabbu.com/product/pillows/mandala-blue/classic/,28/04/2023,brabbu
MOROCCO PINK CLASSIC,MOROCCO PINK CLASSIC,softgoods,Pillows,"
				<p></p><div><div><div><div><p></p><div><div><div><div><p></p><div><div><div><div><p>



</p></div></div></div></div>

</div></div></div></div>

This pink pillow is inspired by Moroccan tile with a classic matte vision. The forms are not pure, representing the beauty of imperfection. The pillow is made of satin.

<br><p></p>					</div>				</div>			</div>		</div>	 <br><p></p>			",https://www.brabbu.com/resources/images/products/581/gallery/N03.jpg,https://www.brabbu.com/resources//images/products/581/gallery/previews/N03_MG_1593.jpg,,,,,,,,,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 45 cm | 17,71”<br>Height 45 cm | 17,71”<div><br>MATERIALS<br>FABRIC Satin<br>FABRIC REFERENCE BB HANOI VII - Colour 3<br>FABRIC NEEDED 1 mts | 39,37” (Standard width 1,40mts | 55”)<br>DETAILS Piping: BB MOSS XVI - Colour 26</div><div></div><div></div>                        ",https://www.brabbu.com/product/pillows/morocco-pink/classic/,28/04/2023,brabbu
MOROCCO GREY CLASSIC,MOROCCO GREY CLASSIC,softgoods,Pillows,"
				<p></p><div><div><div><div><p></p><div><div><div><div><p>

</p></div></div></div></div>

</div></div></div></div>

This grey pillow is inspired by Moroccan tile with a classic matte vision. The forms are not pure, representing the beauty of imperfection. The pillow is made of satin.

<br><p></p>			",https://www.brabbu.com/resources/images/products/580/gallery/A03.jpg,https://www.brabbu.com/resources//images/products/580/gallery/previews/A03_MG.jpg,,,,,,,,,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 50 cm | 19,68”<br>Height 50 cm | 19,68”<div><br>MATERIALS<br>FABRIC Satin<br>FABRIC REFERENCE BB HANOI VII - Colour 4<br>FABRIC NEEDED 1 mts | 39,37” (Standard width 1,40mts | 55”)<br>DETAILS Piping: BB MOSS XVI - Colour 7</div><div></div><div></div>                        ",https://www.brabbu.com/product/pillows/morocco-grey/classic/,28/04/2023,brabbu
MOROCCO GOLD CLASSIC,MOROCCO GOLD CLASSIC,softgoods,Pillows,"
				<p></p><div><div><div><div><p></p><div><div><div><div><p></p><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div>

</div></div></div></div></div></div></div>

This gold pillow is inspired by Moroccan tile with a classic matte vision. The forms are not pure, representing the beauty of imperfection. The pillow is made of linen and cotton.



<br><p></p>					</div>				</div>			</div>		</div>	 <br><p></p>			",https://www.brabbu.com/resources/images/products/582/gallery/BN014.jpg,https://www.brabbu.com/resources//images/products/582/gallery/previews/BN014_MG_1576.jpg,,,,,,,,,https://www.youtube.com/embed/ymeBGi9J7aI?rel=0,Made by Order,"
                        DIMENSIONS<br>Width 50 cm | 19,68”<br>Height 30 cm | 11,81”<div><br>MATERIALS<br>FABRIC Linen/Cotton<br>FABRIC REFERENCE BB HANOI VII - Colour 1<br>FABRIC NEEDED 1 mts | 39,37” (Standard width 1,40mts | 55”)<br>DETAILS Piping: BB DARIEN VIII - Colour 6</div><div></div><div></div>                        ",https://www.brabbu.com/product/pillows/morocco-gold/classic/,28/04/2023,brabbu
