product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,pageUrl,scrape_date,supplier
DARIAN BATHTUB,DARIAN BATHTUB,bathroom,Bathtubs,"
				<p>

The Darian Bathtub draws inspiration from the power of the shield and sphere of protection, as well as the dynamic from its irregular shape. Precise knowledge of production techniques and materials, each with different specialties, from metal-work to upholstery. It features a cluster of gold plated brass asymmetrical bars enveloping a black leather structure, that<br>results in a blend of artful and stout personality.</p><p><i>by <b>Maison Valentina</b></i></p>			",https://www.brabbu.com/resources/images/products/697/gallery/DARIAN-BATHTUB-1.jpg,https://www.brabbu.com/resources//images/products/697/gallery/previews/DARIAN-BATHTUB-2.jpg,,,,,,,,,,"
					Made by Order				",https://www.brabbu.com/product/bathroom/darian/bathtub/,20/04/2023,brabbu
KOI BATHTUB,KOI BATHTUB,bathroom,Bathtubs,"
				<p>

The Koi bathtub features a brushed brass matte base resembling the scales pattern of the Japanese Koi carp. The contrived patina iron tub has an oval shape and a curved lip, making it the perfect resting spot for your head. The name of this contemporary bathtub and the Japanese word for love are homophones, making the carp a symbol of love and affection.
<br></p><p>

<i>by </i><b><i>Maison Valentina</i></b><i>
</i>
<br></p>			",https://www.brabbu.com/resources/images/products/373/gallery/koi_bathtubs-1-540x505.jpg,,,,,,,,,,,"
					Made by Order				",https://www.brabbu.com/product/bathroom/koi/bathtub/,20/04/2023,brabbu
LAPIAZ BATHTUB,LAPIAZ BATHTUB,bathroom,Bathtubs,"
				<p>

Lapiaz Bathtub is inspired in the typical karst formations produced by the dissolution of limestone rocks. This unique bathtub enhances its gold and rich interiors with a gold painted tear that contrast with the mirrored effect of the stainless steel. Definitely, a statement bathtub that stands out in any bathroom project.
<br></p><p>

<i>by </i><b><i>Maison Valentina</i></b><i>
</i>
<br></p>			",https://www.brabbu.com/resources/images/products/374/gallery/lapiaz_bathtubs-1-540x505.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-2-167x93.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/374/gallery/previews/Lapiaz_Bathtub-3-167x93.jpg,,"
					Made by Order				",https://www.brabbu.com/product/bathroom/lapiaz/bathtub/,20/04/2023,brabbu
PETRA BATHTUB,PETRA BATHTUB,bathroom,Bathtubs,"
				<p>This bathtub combines Ibiza marble and wood and is inspired by the ancient city of Petra, where buildings are directly carved in stone cliffs. The black gloss looks of the wood matching the different shades of white turn this piece into one everlasting exclusive visual experience for the most luxurious bathrooms.<br></p><p>

<i>by </i><b><i>Maison Valentina</i></b><i>
</i>
<br></p>			",https://www.brabbu.com/resources/images/products/456/gallery/petra-bathtub-1-540x505.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-2-167x93.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-3-167x93.jpg,https://www.brabbu.com/resources//images/products/456/gallery/previews/petra-bathtub-3-167x93.jpg,,"
					Made by Order				",https://www.brabbu.com/product/bathroom/petra/bathtub/,20/04/2023,brabbu
SYMPHONY BATHTUB,SYMPHONY BATHTUB,bathroom,Bathtubs,"
				<p>This emotional cylindrical bathtub is inspired by music. The gold-plated brass tubes give the needed touch of luxury, making the Symphony bathtub a piece of elevated design. The tub is made of white fiberglass giving it a clean look perfect for any luxury bathroom.<br></p><p>

<i>by </i><b><i>Maison Valentina</i></b><i>
</i>
<br></p>			",https://www.brabbu.com/resources/images/products/376/gallery/symphony_bathtubs-1-540x505.jpg,https://www.brabbu.com/resources//images/products/376/gallery/previews/Symphony_Bathtub-2-167x93.jpg,,,,,,,,,,"
					Made by Order				",https://www.brabbu.com/product/bathroom/symphony/bathtub/,20/04/2023,brabbu
SYMPHONY OVAL BATHTUB,SYMPHONY OVAL BATHTUB,bathroom,Bathtubs,"
				<p>Like a perfect symphony, we created this bathtub. The gold plated brass tubes stands-out on this oval-shaped design, giving it the elegant yet luxurious look you are searching for. The tub is made of white casted iron giving it a clean look that is perfect for any luxury bathroom project.<br></p><p><i>by <b>Maison Valentina</b></i></p>			",https://www.brabbu.com/resources/images/products/698/gallery/SYMPHONY-OVAL-BATHTUB-1.jpg,https://www.brabbu.com/resources//images/products/698/gallery/previews/SYMPHONY-OVAL-BATHTUB-2.jpg,,,,,,,,,,"
					In Stock				",https://www.brabbu.com/product/bathroom/symphony-oval/bathtub/,20/04/2023,brabbu
DIAMOND BATHTUB,DIAMOND BATHTUB,bathroom,Bathtubs,"
				<p>

Diamond bathtub designed in fiberglass with a luxurious black high-gloss finishing. The diamond shaped sculptural body is based on its name, making it a exquisite item in any modern bathroom. This bathtub also presents a golden rim, a small detail that stands out. 

<br></p><p><i>by <b>Maison Valentina</b></i></p>			",https://www.brabbu.com/resources/images/products/696/gallery/DIAMOND-BATHTUB-1.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-2.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-3.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-3.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-3.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-3.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-3.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-3.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-3.jpg,https://www.brabbu.com/resources//images/products/696/gallery/previews/DIAMOND-BATHTUB-3.jpg,,"
					In Stock				",https://www.brabbu.com/product/bathroom/diamond/bathtub/,20/04/2023,brabbu
NEWTON BATHTUB,NEWTON BATHTUB,bathroom,Bathtubs,"
				<p>

Newton is an outstanding moment of design inspiration. This bathtub features a curved lip style shape, a timeless detail that conveys comfort, made out of gold-painted casted iron, revealing its entire golden interior. The high-gloss black and gold lacquered spheres make the perfect combination to make this a sculptural and artistic piece.
<br></p><p>

<i>by </i><b><i>Maison Valentina</i></b><i>
</i>
<br></p>			",https://www.brabbu.com/resources/images/products/375/gallery/newton_bathtubs-1-540x505.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-2-167x93.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-4-167x93.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-4-167x93.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-4-167x93.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-4-167x93.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-4-167x93.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-4-167x93.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-4-167x93.jpg,https://www.brabbu.com/resources//images/products/375/gallery/previews/Newton_Bathtub-4-167x93.jpg,,"
					Made by Order				",https://www.brabbu.com/product/bathroom/newton/bathtub/,20/04/2023,brabbu
AGATHA LOTUS SURFACE,AGATHA LOTUS SURFACE,bathroom,Surfaces,"
				<p>

Agatha Lotus is an art panel inspired both in the Agate stone and its brightness of color as well as in the shape of the Lotus flower. It has a succession of parallel lines that mix a wide range of earth tones, producing a crescent composition effect. This art panel is based on the use of acrylic colors assortment and resin materials which blended produce a jewel for the most royal bathrooms.<br></p><p>

<i>by </i><b><i>Maison Valentina</i></b><i>
</i>
<br></p>			",https://www.brabbu.com/resources/images/products/384/gallery/agatha_lotus_surfaces-1-540x505.jpg,https://www.brabbu.com/resources//images/products/384/gallery/previews/agatha_lotus_surface_2-167x93.jpg,,,,,,,,,,"
					Made by Order				",https://www.brabbu.com/product/bathroom/agatha-lotus/surface/,20/04/2023,brabbu
BLACK PARAMOUNT SURFACE,BLACK PARAMOUNT SURFACE,bathroom,Surfaces,"
				<p>The Black Paramount art panel resembles a great piece of black marble, however with the advanced graphic and handmade artistic touches, this canvas is completely made of two aluminum sheets with a polyethylene core, giving it the real look everyone wants in their luxury bathroom.</p><p><i>by </i><b><i>Maison Valentina</i></b></p>			",https://www.brabbu.com/resources/images/products/386/gallery/black_paramount_surfaces-540x505.jpg,,,,,,,,,,,"
					Made by Order				",https://www.brabbu.com/product/bathroom/black-paramount/surface/,20/04/2023,brabbu
